"","Island","Site","Web..","Native","Netting","Start.Date","End.Date","Total.Days","SpidPres","WebPres","WebSize.cm.","SpidPresBin","WebPresBin"
"1","Saipan","ladt","G'P","yes","no","23-Jul","1-Aug",9,"yes","no",71,1,NA
"2","Saipan","mtr","G'Q","yes","no","26-Jul","29-Jul",3,"no","yes",34,0,1
"3","Saipan","mtr","G'R","yes","no","26-Jul","27-Jul",1,"no","yes",41,0,1
"4","Saipan","forbi","G'S","yes","no","27-Jul","29-Jul",2,"no","yes",37,0,1
"5","Saipan","forbi","G'T","yes","no","27-Jul","31-Jul",4,"no","no",51,0,0
"6","Saipan","forbi","G'U","yes","no","27-Jul","29-Jul",2,"no","yes",55,0,1
"7","Saipan","ladt","G'V","yes","no","23-Jul","24-Jul",1,"no","yes",50,0,1
"8","Saipan","ladt","G'W","no","no","30-Jul","31-Jul",1,"no","yes",43,0,1
"9","Saipan","ladt","G'X","no","no","30-Jul","31-Jul",1,"no","yes",59,0,1
"10","Saipan","ladt","G'Y","no","no","30-Jul","31-Jul",1,"no","yes",44,0,1
"11","Saipan","ladt","G'Z","no","no","30-Jul","31-Jul",1,"no","yes",61,0,1
"12","Saipan","ladt","H'A","no","no","30-Jul","31-Jul",1,"no","yes",55,0,1
"13","Saipan","ladt","H'B","no","no","30-Jul","31-Jul",1,"no","yes",33,0,1
"14","Saipan","ladt","H'C","no","no","30-Jul","31-Jul",1,"no","yes",53,0,1
"15","Siapan","ladt","H'D","no","no","30-Jul","2-Aug",3,"no","yes",46,0,1
"16","Saipan","ladt","H'E","no","no","1-Aug","2-Aug",1,"no","yes",55,0,1
"17","Saipan","ladt","H'F","no","no","1-Aug","2-Aug",1,"no","yes",48,0,1
"18","Saipan","ladt","H'G","no","no","1-Aug","2-Aug",1,"no","yes",51,0,1
"19","Saipan","ladt","H'H","no","no","1-Aug","2-Aug",1,"no","yes",59,0,1
"20","Saipan","ladt","H'I","no","no","1-Aug","3-Aug",2,"no","yes",57,0,1
"21","Saipan","ladt","H'J","no","no","1-Aug","4-Aug",3,"no","yes",49,0,1
"22","Saipan","forbi","H'K","no","no","1-Aug","2-Aug",1,"no","yes",52,0,1
"23","Saipan","forbi","H'L","no","no","1-Aug","2-Aug",1,"no","yes",31,0,1
"24","Saipan","forbi","H'M","no","no","1-Aug","2-Aug",1,"no","no",27,0,0
"25","Saipan","forbi","H'N","no","no","1-Aug","3-Aug",2,"no","yes",51,0,1
"26","Saipan","forbi","H'O","no","no","1-Aug","4-Aug",3,"no","yes",47,0,1
"27","Saipan","forbi","H'P","no","no","1-Aug","5-Aug",4,"no","yes",62,0,1
"28","Saipan","forbi","H'Q","no","yes","1-Aug","2-Aug",1,"no","no",55,0,0
"29","Saipan","forbi","H'R","no","yes","1-Aug","4-Aug",3,"no","yes",45,0,1
"30","Saipan","forbi","H'S","no","yes","1-Aug","5-Aug",4,"no","no",49,0,0
"31","Saipan","forbi","H'T","no","yes","1-Aug","6-Aug",5,"no","no",46,0,0
"32","Saipan","forbi","H'U","no","yes","1-Aug","7-Aug",7,"yes","no",56,1,NA
"33","Saipan","ladt","H'V","no","yes","30-Jul","2-Aug",3,"no","yes",51,0,1
"34","Saipan","ladt","H'W","no","yes","30-Jul","2-Aug",3,"no","no",57,0,0
"35","Saipan","ladt","H'X","no","yes","30-Jul","3-Aug",4,"no","yes",44,0,1
"36","Saipan","ladt","H'Y","no","yes","30-Jul","6-Aug",6,"no","no",48,0,0
"37","Saipan","ladt","H'Z","no","yes","30-Jul","6-Aug",7,"yes","yes",57,1,NA
"38","Saipan","ladt","I'A","no","yes","30-Jul","7-Aug",8,"yes","yes",49,1,NA
"39","Saipan","ladt","I'B","no","yes","1-Aug","2-Aug",1,"no","yes",34,0,1
"40","Saipan","ladt","I'C","no","yes","1-Aug","4-Aug",3,"no","yes",41,0,1
"41","Saipan","ladt","I'D","no","yes","1-Aug","5-Aug",4,"no","yes",46,0,1
"42","Saipan","ladt","I'E","no","yes","1-Aug","6-Aug",5,"no","no",48,0,0
"43","Saipan","ladt","I'F","no","yes","1-Aug","7-Aug",8,"no","no",55,0,0
"44","Saipan","ladt","I'G","no","yes","1-Aug","7-Aug",8,"no","no",66,0,0
"45","Saipan","ladt","I'H","yes","no","2-Aug","4-Aug",2,"no","yes",51,0,1
"46","Saipan","ladt","I'I","yes","no","3-Aug","4-Aug",1,"no","yes",48,0,1
"47","Saipan","ladt","I'J","yes","no","3-Aug","5-Aug",2,"no","yes",51,0,1
"48","Saipan","forbi","I'K","yes","no","4-Aug","5-Aug",1,"no","yes",42,0,1
"49","Saipan","forbi","I'L","yes","no","5-Aug","6-Aug",1,"no","yes",54,0,1
"50","Guam","anao","I'Q","no","no","7-Aug","14-Aug",7,"yes","no",25,1,NA
"51","Guam","anao","I'R","no","no","7-Aug","10-Aug",3,"no","no",34,0,0
"52","Guam","anao","I'S","no","no","7-Aug","14-Aug",7,"yes","no",57,1,NA
"53","Guam","anao","I'T","no","no","7-Aug","10-Aug",3,"no","no",63,0,0
"54","Guam","anao","I'U","no","no","7-Aug","12-Aug",5,"no","no",32,0,0
"55","Guam","anao","I'V","no","no","7-Aug","12-Aug",5,"no","no",70,0,0
"56","Guam","anao","I'W","no","yes","7-Aug","12-Aug",5,"no","no",48,0,0
"57","Guam","anao","I'X","no","yes","7-Aug","10-Aug",3,"no","yes",49,0,1
"58","Guam","anao","I'Y","no","yes","7-Aug","11-Aug",4,"no","no",47,0,0
"59","Guam","anao","I'Z","no","yes","7-Aug","14-Aug",7,"yes","no",48,1,NA
"60","Guam","anao","J'A","no","yes","7-Aug","10-Aug",3,"no","no",51,0,0
"61","Guam","anao","J'B","no","yes","7-Aug","10-Aug",3,"no","no",42,0,0
"62","Guam","anao","J'C","no","no","7-Aug","10-Aug",3,"no","no",38,0,0
"63","Guam","nblas","J'D","no","no","7-Aug","11-Aug",4,"no","yes",37,0,1
"64","Guam","nblas","J'E","no","no","7-Aug","12-Aug",5,"no","no",76,0,0
"65","Guam","nblas","J'F","no","no","7-Aug","14-Aug",7,"yes","no",56,1,NA
"66","Guam","nblas","J'G","no","no","7-Aug","14-Aug",7,"yes","no",67,1,NA
"67","Guam","nblas","J'H","no","no","7-Aug","10-Aug",3,"no","no",59,0,0
"68","Guam","nblas","J'I","no","yes","7-Aug","12-Aug",5,"no","no",73,0,0
"69","Guam","nblas","J'J","no","yes","7-Aug","11-Aug",4,"no","no",60,0,0
"70","Guam","nblas","J'K","no","yes","7-Aug","14-Aug",7,"yes","no",63,1,NA
"71","Guam","nblas","J'L","no","yes","7-Aug","12-Aug",5,"no","no",53,0,0
"72","Guam","nblas","J'M","no","yes","7-Aug","10-Aug",3,"no","yes",61,0,1
"73","Guam","nblas","J'N","no","yes","7-Aug","12-Aug",5,"no","no",48,0,0
"74","Guam","nblas","J'O","no","yes","7-Aug","11-Aug",4,"no","no",71,0,0
"75","Guam","nblas","Z'","yes","no","24-Jun","1-Jul",7,"yes","yes",47,1,NA
"76","Guam","nblas","A'A","yes","no","24-Jun","29-Jun",5,"yes","yes",77,1,NA
"77","Guam","nblas","A'B","yes","no","24-Jun","29-Jun",5,"yes","yes",47,1,NA
"78","Guam","nblas","A'C","yes","no","24-Jun","28-Jun",4,"yes","yes",62,1,NA
"79","Guam","nblas","A'D","yes","no","24-Jun","30-Jun",6,"yes","yes",58,1,NA
"80","Guam","nblas","A'E","yes","no","24-Jun","1-Jul",7,"no","no",56,0,0
"81","Guam","nblas","A'F","yes","no","24-Jun","28-Jun",4,"no","no",67,0,0
"82","Guam","nblas","A'G","yes","no","24-Jun","29-Jun",5,"yes","yes",51,1,NA
"83","Guam","nblas","A'H","yes","no","24-Jun","26-Jun",2,"no","no",43,0,0
"84","Guam","nblas","A'I","yes","no","24-Jun","28-Jun",4,"no","no",66,0,0
"85","Guam","nblas","A'J","yes","no","24-Jun","30-Jun",6,"no","no",58,0,0
"86","Guam","nblas","A'K","yes","no","24-Jun","29-Jun",5,"no","no",39,0,0
"87","Guam","nblas","A'L","yes","no","24-Jun","30-Jun",6,"no","no",56,0,0
"88","Guam","nblas","A'M","yes","no","24-Jun","28-Jun",4,"no","yes",54,0,1
"89","Guam","nblas","A'N","yes","no","24-Jun","27-Jun",3,"no","yes",53,0,1
"90","Guam","nblas","A'O","yes","no","24-Jun","30-Jun",6,"no","no",70,0,0
"91","Guam","nblas","A'P","yes","no","24-Jun","25-Jun",1,"no","no",58,0,0
